read(MB/s) write(MB/s) Queue_Length Utilization date time elapsed_time
0.15 0.11 0.05 42.95 2016-04-15 11:49:09 1860
0.15 0.11 0.05 42.95 2016-04-15 11:49:09 1865
0.15 0.11 0.05 42.95 2016-04-15 11:49:09 1870
0.15 0.11 0.05 42.95 2016-04-15 11:49:09 1875
0.15 0.11 0.05 42.95 2016-04-15 11:49:09 1880
0.15 0.11 0.05 42.95 2016-04-15 11:49:09 1885
0.15 0.11 0.05 42.95 2016-04-15 11:49:09 1890
0.15 0.11 0.05 42.95 2016-04-15 11:49:09 1895
0.15 0.11 0.05 42.95 2016-04-15 11:49:09 1900
0.15 0.11 0.05 42.95 2016-04-15 11:49:09 1905
0.15 0.11 0.05 42.95 2016-04-15 11:49:09 1910
0.15 0.11 0.05 42.95 2016-04-15 11:49:09 1915
0.15 0.11 0.05 42.95 2016-04-15 11:49:09 1920
0.15 0.11 0.05 42.95 2016-04-15 11:49:09 1925
0.15 0.11 0.05 42.95 2016-04-15 11:49:09 1930
0.15 0.11 0.05 42.95 2016-04-15 11:49:09 1935
0.15 0.11 0.05 42.95 2016-04-15 11:49:09 1940
0.15 0.11 0.05 42.95 2016-04-15 11:49:09 1945
0.15 0.11 0.05 42.95 2016-04-15 11:49:09 1950
0.15 0.11 0.05 42.95 2016-04-15 11:49:09 1955
0.15 0.11 0.05 42.95 2016-04-15 11:49:09 1960
0.15 0.11 0.05 42.95 2016-04-15 11:49:09 1965
0.15 0.11 0.05 42.95 2016-04-15 11:49:09 1970
0.15 0.11 0.05 42.95 2016-04-15 11:49:09 1975
0.15 0.11 0.05 42.95 2016-04-15 11:49:09 1980
0.15 0.11 0.05 42.95 2016-04-15 11:49:09 1985
0.15 0.11 0.05 42.95 2016-04-15 11:49:09 1990
0.15 0.11 0.05 42.95 2016-04-15 11:49:09 1995
0.15 0.11 0.05 42.95 2016-04-15 11:49:09 2000
0.15 0.11 0.05 42.95 2016-04-15 11:49:09 2005
0.15 0.11 0.05 42.95 2016-04-15 11:49:09 2010
0.15 0.11 0.05 42.95 2016-04-15 11:49:09 2015
0.15 0.11 0.05 42.95 2016-04-15 11:49:09 2020
0.15 0.11 0.05 42.95 2016-04-15 11:49:09 2025
0.15 0.11 0.05 42.95 2016-04-15 11:49:09 2030
0.15 0.11 0.05 42.95 2016-04-15 11:49:09 2035
0.15 0.11 0.05 42.95 2016-04-15 11:49:09 2040
0.15 0.11 0.05 42.95 2016-04-15 11:49:09 2045
0.15 0.11 0.05 42.95 2016-04-15 11:49:09 2050
0.15 0.11 0.05 42.95 2016-04-15 11:49:09 2055
0.15 0.11 0.05 42.95 2016-04-15 11:49:09 2060
0.15 0.11 0.05 42.95 2016-04-15 11:49:09 2065
0.15 0.11 0.05 42.95 2016-04-15 11:49:09 2070
0.15 0.11 0.05 42.95 2016-04-15 11:49:09 2075
0.15 0.11 0.05 42.95 2016-04-15 11:49:09 2080
0.15 0.11 0.05 42.95 2016-04-15 11:49:09 2085
0.15 0.11 0.05 42.95 2016-04-15 11:49:09 2090
0.15 0.11 0.05 42.95 2016-04-15 11:49:09 2095
0.15 0.11 0.05 42.95 2016-04-15 11:49:09 2100
0.15 0.11 0.05 42.95 2016-04-15 11:49:09 2105
0.15 0.11 0.05 42.95 2016-04-15 11:49:09 2110
0.15 0.11 0.05 42.95 2016-04-15 11:49:09 2115
0.15 0.11 0.05 42.95 2016-04-15 11:49:09 2120
0.15 0.11 0.05 42.95 2016-04-15 11:49:09 2125
0.15 0.11 0.05 42.95 2016-04-15 11:49:09 2130
0.15 0.11 0.05 42.95 2016-04-15 11:49:09 2135
0.15 0.11 0.05 42.95 2016-04-15 11:49:09 2140
0.15 0.11 0.05 42.95 2016-04-15 11:49:09 2145
0.15 0.11 0.05 42.95 2016-04-15 11:49:09 2150
0.15 0.11 0.05 42.95 2016-04-15 11:49:09 2155
0.15 0.11 0.05 42.95 2016-04-15 11:49:09 2160
0.15 0.11 0.05 42.95 2016-04-15 11:49:09 2165
0.15 0.11 0.05 42.95 2016-04-15 11:49:09 2170
0.15 0.11 0.05 42.95 2016-04-15 11:49:09 2175
0.15 0.11 0.05 42.95 2016-04-15 11:49:09 2180
0.15 0.11 0.05 42.95 2016-04-15 11:49:09 2185
0.15 0.11 0.05 42.95 2016-04-15 11:49:09 2190
