read(MB/s) write(MB/s) Queue_Length Utilization date time elapsed_time
0.02 0.00 0.01 0.64 2016-04-15 16:24:52 935
0.02 0.00 0.01 0.64 2016-04-15 16:24:52 940
0.02 0.00 0.01 0.64 2016-04-15 16:24:52 945
0.02 0.00 0.01 0.64 2016-04-15 16:24:52 950
0.02 0.00 0.01 0.64 2016-04-15 16:24:52 955
0.02 0.00 0.01 0.64 2016-04-15 16:24:52 960
0.02 0.00 0.01 0.64 2016-04-15 16:24:52 965
0.02 0.00 0.01 0.64 2016-04-15 16:24:52 970
0.02 0.00 0.01 0.64 2016-04-15 16:24:52 975
0.02 0.00 0.01 0.64 2016-04-15 16:24:52 980
0.02 0.00 0.01 0.64 2016-04-15 16:24:52 985
0.02 0.00 0.01 0.64 2016-04-15 16:24:52 990
0.02 0.00 0.01 0.64 2016-04-15 16:24:52 995
0.02 0.00 0.01 0.64 2016-04-15 16:24:52 1000
0.02 0.00 0.01 0.64 2016-04-15 16:24:52 1005
0.02 0.00 0.01 0.64 2016-04-15 16:24:52 1010
0.02 0.00 0.01 0.64 2016-04-15 16:24:52 1015
0.02 0.00 0.01 0.64 2016-04-15 16:24:52 1020
0.02 0.00 0.01 0.64 2016-04-15 16:24:52 1025
0.02 0.00 0.01 0.64 2016-04-15 16:24:52 1030
0.02 0.00 0.01 0.64 2016-04-15 16:24:52 1035
0.02 0.00 0.01 0.64 2016-04-15 16:24:52 1040
0.02 0.00 0.01 0.64 2016-04-15 16:24:52 1045
0.02 0.00 0.01 0.64 2016-04-15 16:24:52 1050
0.02 0.00 0.01 0.64 2016-04-15 16:24:52 1055
0.02 0.00 0.01 0.63 2016-04-15 16:24:52 1060
0.02 0.00 0.01 0.63 2016-04-15 16:24:52 1065
0.02 0.00 0.01 0.63 2016-04-15 16:24:52 1070
0.02 0.00 0.01 0.63 2016-04-15 16:24:52 1075
0.02 0.00 0.01 0.63 2016-04-15 16:24:52 1080
0.02 0.00 0.01 0.63 2016-04-15 16:24:52 1085
0.02 0.00 0.01 0.63 2016-04-15 16:24:52 1090
0.02 0.00 0.01 0.63 2016-04-15 16:24:52 1095
0.02 0.00 0.01 0.63 2016-04-15 16:24:52 1100
0.02 0.00 0.01 0.63 2016-04-15 16:24:52 1105
0.02 0.00 0.01 0.63 2016-04-15 16:24:52 1110
0.02 0.00 0.01 0.63 2016-04-15 16:24:52 1115
0.02 0.00 0.01 0.63 2016-04-15 16:24:52 1120
0.02 0.00 0.01 0.63 2016-04-15 16:24:53 1125
0.02 0.00 0.01 0.63 2016-04-15 16:24:53 1130
0.02 0.00 0.01 0.63 2016-04-15 16:24:53 1135
0.02 0.00 0.01 0.63 2016-04-15 16:24:53 1140
0.02 0.00 0.01 0.63 2016-04-15 16:24:53 1145
0.02 0.00 0.01 0.63 2016-04-15 16:24:53 1150
0.02 0.00 0.01 0.63 2016-04-15 16:24:53 1155
0.02 0.00 0.01 0.63 2016-04-15 16:24:53 1160
0.02 0.00 0.01 0.63 2016-04-15 16:24:53 1165
0.02 0.00 0.01 0.63 2016-04-15 16:24:53 1170
0.02 0.00 0.01 0.63 2016-04-15 16:24:53 1175
0.02 0.00 0.01 0.63 2016-04-15 16:24:53 1180
0.02 0.00 0.01 0.63 2016-04-15 16:24:53 1185
0.02 0.00 0.01 0.63 2016-04-15 16:24:53 1190
0.02 0.00 0.01 0.63 2016-04-15 16:24:53 1195
0.02 0.00 0.01 0.63 2016-04-15 16:24:53 1200
0.02 0.00 0.01 0.63 2016-04-15 16:24:53 1205
0.02 0.00 0.01 0.63 2016-04-15 16:24:53 1210
0.02 0.00 0.01 0.63 2016-04-15 16:24:53 1215
0.02 0.00 0.01 0.63 2016-04-15 16:24:53 1220
0.02 0.00 0.01 0.63 2016-04-15 16:24:53 1225
0.02 0.00 0.01 0.63 2016-04-15 16:24:53 1230
0.02 0.00 0.01 0.63 2016-04-15 16:24:53 1235
0.02 0.00 0.01 0.63 2016-04-15 16:24:53 1240
0.02 0.00 0.01 0.63 2016-04-15 16:24:53 1245
0.02 0.00 0.01 0.63 2016-04-15 16:24:53 1250
0.02 0.00 0.01 0.63 2016-04-15 16:24:53 1255
0.02 0.00 0.01 0.63 2016-04-15 16:24:53 1260
0.02 0.00 0.01 0.63 2016-04-15 16:24:53 1265
0.02 0.00 0.01 0.63 2016-04-15 16:24:53 1270
0.02 0.00 0.01 0.63 2016-04-15 16:24:53 1275
0.02 0.00 0.01 0.63 2016-04-15 16:24:53 1280
0.02 0.00 0.01 0.63 2016-04-15 16:24:53 1285
0.02 0.00 0.01 0.63 2016-04-15 16:24:53 1290
0.02 0.00 0.01 0.63 2016-04-15 16:24:53 1295
0.02 0.00 0.01 0.63 2016-04-15 16:24:53 1300
0.02 0.00 0.01 0.63 2016-04-15 16:24:53 1305
0.02 0.00 0.01 0.63 2016-04-15 16:24:53 1310
0.02 0.00 0.01 0.63 2016-04-15 16:24:53 1315
0.02 0.00 0.01 0.63 2016-04-15 16:24:53 1320
0.02 0.00 0.01 0.63 2016-04-15 16:24:53 1325
0.02 0.00 0.01 0.63 2016-04-15 16:24:53 1330
0.02 0.00 0.01 0.63 2016-04-15 16:24:53 1335
0.02 0.00 0.01 0.63 2016-04-15 16:24:53 1340
0.02 0.00 0.01 0.63 2016-04-15 16:24:54 1345
0.02 0.00 0.01 0.63 2016-04-15 16:24:54 1350
0.02 0.00 0.01 0.63 2016-04-15 16:24:54 1355
0.02 0.00 0.01 0.63 2016-04-15 16:24:54 1360
0.02 0.00 0.01 0.63 2016-04-15 16:24:54 1365
0.02 0.00 0.01 0.63 2016-04-15 16:24:54 1370
0.02 0.00 0.01 0.63 2016-04-15 16:24:54 1375
0.02 0.00 0.01 0.63 2016-04-15 16:24:54 1380
0.02 0.00 0.01 0.63 2016-04-15 16:24:54 1385
0.02 0.00 0.01 0.63 2016-04-15 16:24:54 1390
0.02 0.00 0.01 0.63 2016-04-15 16:24:54 1395
0.02 0.00 0.01 0.63 2016-04-15 16:24:54 1400
0.02 0.00 0.01 0.63 2016-04-15 16:24:54 1405
0.02 0.00 0.01 0.63 2016-04-15 16:24:54 1410
0.02 0.00 0.01 0.63 2016-04-15 16:24:54 1415
0.02 0.00 0.01 0.63 2016-04-15 16:24:54 1420
0.02 0.00 0.01 0.63 2016-04-15 16:24:54 1425
0.02 0.00 0.01 0.63 2016-04-15 16:24:54 1430
0.02 0.00 0.01 0.63 2016-04-15 16:24:54 1435
0.02 0.00 0.01 0.63 2016-04-15 16:24:54 1440
0.02 0.00 0.01 0.63 2016-04-15 16:24:54 1445
0.02 0.00 0.01 0.63 2016-04-15 16:24:54 1450
0.02 0.00 0.01 0.63 2016-04-15 16:24:54 1455
0.02 0.00 0.01 0.63 2016-04-15 16:24:54 1460
0.02 0.00 0.01 0.63 2016-04-15 16:24:54 1465
0.02 0.00 0.01 0.63 2016-04-15 16:24:54 1470
0.02 0.00 0.01 0.63 2016-04-15 16:24:54 1475
0.02 0.00 0.01 0.63 2016-04-15 16:24:54 1480
0.02 0.00 0.01 0.63 2016-04-15 16:24:54 1485
0.02 0.00 0.01 0.63 2016-04-15 16:24:54 1490
0.02 0.00 0.01 0.63 2016-04-15 16:24:54 1495
0.02 0.00 0.01 0.63 2016-04-15 16:24:54 1500
0.02 0.00 0.01 0.63 2016-04-15 16:24:54 1505
0.02 0.00 0.01 0.63 2016-04-15 16:24:54 1510
0.02 0.00 0.01 0.63 2016-04-15 16:24:54 1515
0.02 0.00 0.01 0.63 2016-04-15 16:24:54 1520
0.02 0.00 0.01 0.63 2016-04-15 16:24:54 1525
0.02 0.00 0.01 0.63 2016-04-15 16:24:54 1530
0.02 0.00 0.01 0.63 2016-04-15 16:24:54 1535
0.02 0.00 0.01 0.63 2016-04-15 16:24:54 1540
0.02 0.00 0.01 0.63 2016-04-15 16:24:54 1545
0.02 0.00 0.01 0.63 2016-04-15 16:24:54 1550
0.02 0.00 0.01 0.63 2016-04-15 16:24:55 1555
0.02 0.00 0.01 0.63 2016-04-15 16:24:55 1560
0.02 0.00 0.01 0.63 2016-04-15 16:24:55 1565
0.02 0.00 0.01 0.63 2016-04-15 16:24:55 1570
0.02 0.00 0.01 0.63 2016-04-15 16:24:55 1575
0.02 0.00 0.01 0.63 2016-04-15 16:24:55 1580
0.02 0.00 0.01 0.63 2016-04-15 16:24:55 1585
0.02 0.00 0.01 0.63 2016-04-15 16:24:55 1590
0.02 0.00 0.01 0.63 2016-04-15 16:24:55 1595
0.02 0.00 0.01 0.63 2016-04-15 16:24:55 1600
0.02 0.00 0.01 0.63 2016-04-15 16:24:55 1605
